task_id,task_type,machine_model,weather,operator_skill,machine_age,power_mode,engine_rpm,hydraulic_response,assist_tech_enabled,payload_target_pct,dig_priority,stabilizer_stance,rimpull_control,blade_angle,working_gear,tool_flow_rate,duty_cycle_pct,completion_time_min,fuel_burn_rate_lph,machine_stress_score,is_anchor
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,58.12417853825281,16.8,21.9,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,58.380757464102004,16.8,21.2,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,58.39480320387685,16.9,21.0,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,58.13564001089649,16.8,21.0,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,58.060490567891506,16.5,20.0,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,57.85942811768976,16.7,21.7,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,57.7729939811197,16.6,22.6,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,57.94355592487837,16.8,20.3,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,57.863904318868705,16.8,20.5,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,58.09392450458642,16.7,21.2,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,57.84957334694265,17.1,21.4,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,57.73557226776102,17.0,20.4,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,58.052215898751186,16.5,20.3,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,58.049215308967284,16.9,21.5,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,57.97108792940294,16.8,20.2,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,57.820038947901324,16.8,22.2,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,58.08590457239212,16.6,21.7,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,57.90372942989592,16.7,21.9,1
T001,Earth Excavation,CAT-320,Sunny,Expert,2,Smart,1850,Quick,1,95.0,Balanced,None,None,None,None,None,85.0,58.25774988062399,17.0,20.7,1
